column,primary_use_case,AnalysisHandling,alt_use_cases,peril_fire,peril_wildfire,peril_weather,peril_nw_water,peril_crime,peril_other,peril_farm_crop,peril_eq,peril_casualty,peril_wc_el,peril_flood,peril_terrorism,peril_auto,peril_rcv,peril_pl_cl,usage_uw,usage_ops,usage_pricing,calculate_stats
assessment.PSale_Price,Property Value,Keep,Prior Sale Price,,,,,,,,,,,,,,X,ALL,,X,,Yes
assessment.Roof_Cover,Building Info,Keep,,,X,X,,,,,,,,,,,X,ALL,X,X,X,Yes
assessment.Roof_Type,Building Info,Keep,,,X,X,,,,,,,,,,,X,ALL,X,X,X,Yes
assessment.School_Tax_District_1,,,,,,,,,,,,,,,,,,,,,,No
assessment.School_Tax_District_1_Indicator,,,,,,,,,,,,,,,,,,,,,,No
assessment.School_Tax_District_2,,,,,,,,,,,,,,,,,,,,,,No
assessment.School_Tax_District_2_Indicator,,,,,,,,,,,,,,,,,,,,,,No
assessment.School_Tax_District_3,,,,,,,,,,,,,,,,,,,,,,No
assessment.School_Tax_District_3_Indicator,,,,,,,,,,,,,,,,,,,,,,No
assessment.Site_Influence,,,,,,,,,,,,,,,,,,,,,,Yes
assessment.Standardized_Land_Use_Code,Building Info,Keep,Land-Use Codes,,,,,,,,,X,X,,,,X,ALL,,X,,Yes
assessment.Tax_Amount,,,,,,,,,,,,,,,,,,,,,,Yes
assessment.Tax_Delinquent_Year,,,,,,,,,,,,,,,,,,,,,,Yes
assessment.tax_marketvalue,,,,,,,,,,,,,,,,,,,,,,Yes
assessment.Tax_Rate_Code_Area,,,,,,,,,,,,,,,,,,,,,,No
assessment.Topography,Topography,Keep,,X,X,X,X,,X,X,,X,X,X,,,X,ALL,X,X,X,Yes
assessment.Total_Assessed_Value,Property Value,Keep,Assessed Value,,,,,,,,,,,,,,X,ALL,X,X,,Yes
assessment.Total_Market_Value,Property Value,Keep,Market Value (Compare w Sale Price & Mortgage),,,,,,,,,,,,,,X,ALL,X,X,,Yes
assessment.Total_Number_of_Rooms,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
assessment.Condo_Project_Bldg_Name,,,,,,,,,,,,,,,,,,,,,,No
assessment.Building_Class,Building Info,Keep,,,,,,,,,,,,,,,X,CL,X,X,,Yes
assessment.Type_Construction,Building Info,Keep,,X,X,X,,,,X,,,,,,,X,ALL,X,X,X,Yes
assessment.Year_Built,Building Info,Keep,,X,X,X,,,,X,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.Ad_geo_altitude,,,,,,,,,,,,,,,,,,,,,,No
mls_listing_record_details.ad_zone_features,,,,,,,,,,,,,,,,,,,,,,No
mls_listing_record_details.ex_construction_features,Building Info,Distribution,,X,X,X,,,,X,X,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_exterior_wall_features,Building Info,Combine,,X,X,X,,,,X,X,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_fence_features,Building Info,Distribution,,X,X,X,,,,X,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_foundation_features,Building Info,Distribution,,,,,,,X,,X,X,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_garage_features,Building Info,Distribution,,,,,,,,,,,,,,X,X,PL,,X,,Yes
mls_listing_record_details.ex_garage_spaces,Building Info,Combine,,,,,,,,,,,,,,X,X,PL,,X,,Yes
mls_listing_record_details.ex_general_features,Building Info,Distribution,"General Features (ID outbuildings, workshops)",X,X,X,,,,X,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_location_features,Wildfire,Distribution,"Location Features (identify dead-end roads, culdesacs,etc)",,X,,,,,,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_lot_size_acres,Parcel Info,Distribution,,,X,X,,,,X,,X,X,,,,,ALL,X,,X,Yes
mls_listing_record_details.ex_lot_size_square_feet,Parcel Info,Combine,,,X,X,,,,X,,X,X,,,,,ALL,X,,X,Yes
mls_listing_record_details.ex_lot_size_features,Parcel Info,Distribution,,,X,X,X,,,X,X,X,X,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_parking_features,Building Info,Distribution,Parking Features (CAT risk from ungaraged vehicles),,,,,,,,,,,,,X,,ALL,X,,X,Yes
mls_listing_record_details.ex_parking_spaces,Building Info,Distribution,# Parking Spaces  (theft from vehicles not garaged),,,,,X,,,,X,X,,,X,,ALL,X,,X,Yes
mls_listing_record_details.ex_patio_features,Building Info,Distribution,,X,X,X,,,,,X,X,X,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_patio_yn,Building Info,Combine,,X,X,X,,,,,X,X,X,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_pool_features,Parcel Info,Distribution,,,,,X,,,,X,X,X,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_pool_yn,Parcel Info,Combine,,,,,X,,,,X,X,X,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_road_features,Parcel Info,Exceptions,"Road Features ( identify dead-ends, dirt roads, etc)",X,X,,,,,,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_roof_features,Building Info,Distribution,,,X,X,,,,X,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_sewer_features,Parcel Info,Distribution,"ID Septic Tanks, Public/Private Sewage, etc.",,,X,X,,,,,,,X,,,,ALL,X,,X,Yes
mls_listing_record_details.ex_spa_yn,Parcel Info,Distribution,,,,,X,,,,X,X,X,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.ex_style_features,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.ex_view_features,Building Info,Keep,,,X,X,,,,,,,,X,,,,ALL,X,,,Yes
mls_listing_record_details.ex_wateraccess_features,Building Info,Keep,,,,X,X,,,X,,X,X,X,,,X,ALL,X,X,,Yes
mls_listing_record_details.ex_waterfront_features,Building Info,Keep,,,,,X,,,X,,,X,X,,,,ALL,X,,,Yes
mls_listing_record_details.if_appliance_features,Building Info,Keep,,,,,X,,,,,,,,,,,PL,X,,,Yes
mls_listing_record_details.if_basement_features,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.if_basement_yn,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.if_cooling_features,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.if_cooling_yn,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.if_fireplace_features,Building Info,Keep,,X,,,,,,,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.if_fireplace_number,Building Info,Keep,Fireplace Count,X,,,,,,,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.if_fireplace_yn,Building Info,Keep,,X,,,,,,,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.if_floor_features,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.if_general_features,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.if_heating_features,Building Info,Keep,,X,,,,,,,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.if_levels_features,Building Info,Keep,Number of Stories,,,X,X,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.if_security_features,Building Info,Keep,,,,,,X,,,,,,,,,,ALL,X,,X,Yes
mls_listing_record_details.if_security_system_yn,Building Info,Keep,Security System,,,,,X,,,,,,,,,,ALL,X,,X,Yes
mls_listing_record_details.if_utilities_features,Building Info,Keep,,X,,,X,,,,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.if_water_features,Building Info,Keep,"Private wells,",X,X,,,,,,,,,,,,,ALL,X,X,X,Yes
mls_listing_record_details.if_window_features,Building Info,Keep,,,X,X,,,,,,,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.in_association_dues1,,,,,,,,,,,,,,,,,,,,,,Yes
mls_listing_record_details.in_living_square_feet,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,X,X,,Yes
mls_listing_record_details.in_property_type,Parcel Info,Keep,,,,,,,,X,,,,,,,X,ALL,X,X,,Yes
mls_listing_record_details.in_public_remarks,Remarks,Exceptions,,,X,X,,,X,,,X,,X,,,X,ALL,X,X,,Yes
mls_listing_record_details.in_sold_date,,,,,,,,,,,,,,,,,,,,,,Yes
mls_listing_record_details.in_sold_price,,,,,,,,,,,,,,,,,,,,,,Yes
mls_listing_record_details.in_subtype,,,,,,,,,,,,,,,,,,,,,,Yes
mls_listing_record_details.in_year_built,Building Info,Keep,Year built,X,X,X,X,,,,X,,X,X,,,X,ALL,X,X,X,Yes
mls_listing_record_details.in_association_features,Parcel Info,Keep,Association Features,,X,,,X,,,,X,,,,,,ALL,X,,X,No
mls_listing_record_details.in_association_yn,Parcel Info,Keep,,,X,,,X,,,,X,,,,,,ALL,X,,X,Yes
mls_listing_record_details.rm_baths_full,Building Info,Keep,,,,,X,,,,,,,,,,X,ALL,,X,X,Yes
mls_listing_record_details.rm_baths_half,Building Info,Keep,,,,,X,,,,,,,,,,X,ALL,,X,X,Yes
mls_listing_record_details.rm_baths_total,Building Info,Keep,,,,,X,,,,,,,,,,X,ALL,,X,X,Yes
mls_listing_record_details.rm_bedrooms_total,Building Info,Keep,,,,,,,,,,,,,,,X,PL,,X,,Yes
mls_listing_record_details.rm_dining_features,Building Info,Keep,,,,,,,,,,,,,,,X,PL,,X,,Yes
mls_listing_record_details.rm_family_yn,Building Info,Keep,,,,,,,,,,,,,,,X,PL,,X,X,Yes
mls_listing_record_details.rm_general_features,Building Info,Keep,,,,,,,,,,,,,,,X,ALL,X,X,,Yes
mls_listing_record_details.rm_kitchen_features,Building Info,Keep,,,,,X,,,,,,,,,,X,ALL,,X,,Yes
mls_listing_record_details.rm_laundry_features,Building Info,Keep,,,,,X,,,,,,,,,,X,PL,,X,X,Yes
mls_listing_record_details.rm_room11_features,,,,,,,,,,,,,,,,,,,,,,Yes
mls_listing_record_details.rm_room11_type,,,,,,,,,,,,,,,,,,,,,,Yes
mls_listing_record_details.rm_room13_features,,,,,,,,,,,,,,,,,,,,,,Yes
mls_listing_record_details.rm_room13_type,,,,,,,,,,,,,,,,,,,,,,Yes
mls_listing_record_details.rm_rooms_total,Building Info,Keep,,X,,,X,,X,,,X,,,,,X,ALL,X,X,X,Yes
mls_listing_record_details.sc_school_district,,,,,,,,,,,,,,,,,,,,,,No
listing_record.list_date,Property Value,Keep,,,,,,,,,,,,,,,X,ALL,X,X,,No
listing_record.list_price,Property Value,Keep,,,,,,,,,,,,,,,X,ALL,X,X,,Yes
listing_record.status,Property for Sale,Keep,,,,X,X,X,,,,X,,,,,,ALL,X,,,Yes
mortgage_info.Current_Est_LTV_Combined,Property Value,Keep,Mortgage 1 - Loan to Value,,,,,,,,,,,,,,X,ALL,X,X,,Yes
mortgage_info.Mtg01_Curr_Est_Bal,Property Value,Keep,Mortgage 1 - Balance,,,,,,,,,,,,,,X,ALL,X,X,,Yes
mortgage_info.Mtg01_lender_name_beneficiary,Lender Name,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
mortgage_info.Mtg01_Loan_Amount,Property Value,Keep,Mortgage 1 - Loan Amount,,,,,,,,,,,,,,X,ALL,X,X,,Yes
mortgage_info.Mtg01_loan_type,Property Value,Keep,Mortgage 1 - Loan Type,,,,,,,,,,,,,,X,ALL,X,X,,Yes
mortgage_info.Mtg01_Title_Company_Name,Title Company,Keep,,,,,,,,,,,,,,,,ALL,,X,,No
mortgage_info.Total_Open_Lien_Balance,Property Value,Keep,Mortgage 1 - Lien Balance,,,,,,,,,,,,,,X,ALL,X,X,,Yes
valuation.price_range_max,Property Value,Keep,Max Valuation,,,,,,,,,,,,,,X,ALL,X,X,,Yes
valuation.price_range_min,Property Value,Keep,Min Valuation,,,,,,,,,,,,,,X,ALL,X,X,,Yes
